Date,Price,Open,High,Low,Vol.,Change %
"Dec 27, 2020",774.50,636.35,787.26,627.12,13.07M,21.67%
"Dec 20, 2020",636.58,657.79,661.04,554.09,13.54M,-3.28%
"Dec 13, 2020",658.17,568.07,675.68,563.37,17.51M,15.92%
"Dec 06, 2020",567.78,596.61,606.90,530.88,112.41M,-4.84%
"Nov 29, 2020",596.68,537.89,635.66,530.71,246.34M,10.96%
"Nov 22, 2020",537.74,551.90,621.70,484.03,167.78M,-2.57%
"Nov 15, 2020",551.91,460.75,552.13,440.44,114.89M,19.80%
"Nov 08, 2020",460.70,435.39,477.78,432.44,99.07M,5.81%
"Nov 01, 2020",435.40,386.36,467.88,370.96,47.80M,12.68%
"Oct 25, 2020",386.42,412.44,417.07,374.36,36.94M,-6.19%
"Oct 18, 2020",411.92,368.61,420.12,367.16,61.61M,11.74%
"Oct 11, 2020",368.63,370.28,394.58,362.65,54.73M,-0.41%
"Oct 04, 2020",370.16,345.60,377.97,334.11,45.40M,7.10%
"Sep 27, 2020",345.60,354.26,369.10,335.91,48.18M,-2.44%
"Sep 20, 2020",354.25,385.33,385.39,315.54,67.78M,-8.05%
"Sep 13, 2020",385.25,388.06,393.96,353.85,69.03M,-0.71%
"Sep 06, 2020",387.98,334.91,388.12,316.69,116.20M,15.85%
"Aug 30, 2020",334.91,398.80,488.24,314.13,137.06M,-16.02%
"Aug 23, 2020",398.80,395.56,410.17,370.40,46.14M,0.82%
"Aug 16, 2020",395.56,432.22,444.86,379.96,53.12M,-8.47%
"Aug 09, 2020",432.18,396.78,443.74,367.05,59.91M,8.93%
"Aug 02, 2020",396.76,387.15,415.08,335.76,69.12M,2.49%
"Jul 26, 2020",387.14,305.32,392.37,300.33,67.80M,26.80%
"Jul 19, 2020",305.32,235.72,308.57,233.35,48.08M,29.51%
"Jul 12, 2020",235.75,239.20,245.04,230.44,47.89M,-1.44%
"Jul 05, 2020",239.20,229.09,248.76,223.79,56.72M,4.39%
"Jun 28, 2020",229.15,221.07,232.47,218.46,42.17M,3.66%
"Jun 21, 2020",221.06,228.87,249.23,217.11,46.55M,-3.41%
"Jun 14, 2020",228.86,238.23,238.48,219.06,44.84M,-3.93%
"Jun 07, 2020",238.22,242.00,249.77,227.01,55.72M,-1.56%
"May 31, 2020",242.00,243.63,253.21,227.95,69.61M,-0.67%
"May 24, 2020",243.63,206.65,246.55,197.30,79.23M,17.91%
"May 17, 2020",206.62,200.51,217.00,192.11,97.96M,3.05%
"May 10, 2020",200.51,210.19,210.19,177.43,149.67M,-4.62%
"May 03, 2020",210.22,213.96,218.74,195.25,167.36M,-1.75%
"Apr 26, 2020",213.96,194.01,227.05,190.87,182.28M,10.28%
"Apr 19, 2020",194.01,187.47,197.35,167.51,172.27M,3.50%
"Apr 12, 2020",187.45,158.18,189.22,148.91,162.42M,18.51%
"Apr 05, 2020",158.18,144.03,175.78,140.84,193.42M,9.84%
"Mar 29, 2020",144.01,131.02,148.91,124.84,149.27M,9.91%
"Mar 22, 2020",131.03,132.59,142.90,120.20,159.16M,-1.17%
"Mar 15, 2020",132.58,122.67,151.85,102.44,230.26M,8.06%
"Mar 08, 2020",122.69,237.30,237.30,88.50,267.66M,-48.30%
"Mar 01, 2020",237.32,217.51,251.55,213.00,121.65M,9.10%
"Feb 23, 2020",217.52,261.65,276.81,210.36,162.44M,-16.86%
"Feb 16, 2020",261.64,264.87,285.75,237.89,151.56M,-1.22%
"Feb 09, 2020",264.87,223.23,287.93,217.02,137.45M,18.65%
"Feb 02, 2020",223.23,183.58,227.55,183.58,101.65M,21.56%
"Jan 26, 2020",183.64,160.40,186.76,159.55,82.70M,14.46%
"Jan 19, 2020",160.44,174.17,177.77,155.65,94.49M,-7.89%
"Jan 12, 2020",174.19,142.65,179.80,142.00,113.12M,22.09%
"Jan 05, 2020",142.67,134.32,147.68,134.32,92.34M,6.21%
"Dec 29, 2019",134.33,128.35,137.74,126.05,94.22M,4.66%
"Dec 22, 2019",128.35,127.61,134.92,123.18,93.43M,0.58%
"Dec 15, 2019",127.61,142.03,143.87,117.14,104.63M,-10.16%
"Dec 08, 2019",142.03,148.25,152.22,140.00,75.02M,-4.21%
"Dec 01, 2019",148.28,151.93,152.33,143.95,68.17M,-2.42%
"Nov 24, 2019",151.95,152.46,157.27,131.78,83.98M,-0.33%
"Nov 17, 2019",152.46,182.39,185.97,139.13,91.26M,-16.42%
"Nov 10, 2019",182.42,184.96,191.28,178.29,71.29M,-1.38%
"Nov 03, 2019",184.96,183.01,194.11,179.46,80.29M,1.06%
"Oct 27, 2019",183.01,179.61,192.28,176.47,89.26M,1.89%
"Oct 20, 2019",179.62,171.93,192.54,154.42,73.16M,4.49%
"Oct 13, 2019",171.91,179.86,187.67,169.28,73.98M,-4.43%
"Oct 06, 2019",179.87,176.44,195.87,168.74,78.51M,1.95%
"Sep 29, 2019",176.43,173.62,184.95,164.97,67.69M,1.62%
"Sep 22, 2019",173.62,215.23,215.64,153.17,85.82M,-19.33%
