"Date","Price","Open","High","Low","Vol.","Change %"
"07/06/2020","238.10","241.93","249.81","226.55","1.97M","-1.62%"
"31/05/2020","242.03","243.65","253.50","225.99","4.67M","-0.64%"
"24/05/2020","243.60","206.62","246.74","197.00","5.35M","17.92%"
"17/05/2020","206.58","200.47","216.95","192.05","6.21M","3.01%"
"10/05/2020","200.54","210.05","210.05","176.43","5.58M","-4.52%"
"03/05/2020","210.05","214.08","218.88","195.01","7.23M","-1.79%"
"26/04/2020","213.88","194.00","227.04","190.16","8.47M","10.11%"
"19/04/2020","194.24","187.53","197.94","167.18","10.41M","3.62%"
"12/04/2020","187.45","158.29","189.38","148.67","9.81M","18.43%"
"05/04/2020","158.29","144.13","176.07","140.85","11.35M","9.89%"
"29/03/2020","144.05","130.95","149.41","124.00","8.00M","10.05%"
"22/03/2020","130.89","132.52","143.23","120.08","10.06M","-1.39%"
"15/03/2020","132.74","122.51","151.93","101.30","12.81M","8.28%"
"08/03/2020","122.58","237.23","237.23","91.52","11.58M","-48.32%"
"01/03/2020","237.21","217.46","251.63","212.79","7.58M","9.10%"
"23/02/2020","217.43","261.53","276.99","210.25","9.43M","-16.89%"
"16/02/2020","261.63","264.97","285.62","237.67","6.52M","-1.22%"
"09/02/2020","264.85","223.07","288.10","216.74","5.24M","18.68%"
"02/02/2020","223.15","183.61","227.65","179.31","3.89M","21.53%"
"26/01/2020","183.62","160.18","186.94","159.47","2.77M","14.46%"
"19/01/2020","160.43","174.19","177.94","155.78","2.56M","-7.90%"
"12/01/2020","174.19","142.47","179.45","141.85","4.14M","22.21%"
"05/01/2020","142.53","134.19","147.92","134.19","3.73M","6.23%"
"29/12/2019","134.17","128.06","137.87","125.97","3.54M","4.73%"
"22/12/2019","128.12","127.07","134.83","122.80","3.06M","0.83%"
"15/12/2019","127.07","141.82","143.90","116.17","3.55M","-10.41%"
"08/12/2019","141.84","147.14","151.55","139.54","2.62M","-3.61%"
"01/12/2019","147.14","151.35","152.35","143.49","3.34M","-2.88%"
"24/11/2019","151.51","151.81","157.22","131.53","4.92M","-0.14%"
"17/11/2019","151.73","182.35","186.00","138.18","4.90M","-16.79%"
"10/11/2019","182.35","184.85","191.59","178.00","4.04M","-1.36%"
"03/11/2019","184.87","182.93","194.26","179.09","4.56M","1.04%"
"27/10/2019","182.96","179.45","192.57","176.28","5.53M","1.90%"
"20/10/2019","179.54","171.86","196.84","153.92","4.50M","4.46%"
"13/10/2019","171.87","179.76","187.86","169.00","3.85M","-4.34%"
"06/10/2019","179.68","176.01","196.39","167.91","3.43M","2.09%"
"29/09/2019","176.01","173.66","185.49","164.48","4.14M","1.29%"
"22/09/2019","173.76","215.03","215.55","150.00","4.25M","-19.21%"
"15/09/2019","215.08","188.19","223.86","185.74","3.59M","14.29%"
"08/09/2019","188.18","177.54","188.72","174.48","3.15M","6.00%"
"01/09/2019","177.53","171.57","182.65","165.66","2.99M","3.46%"
"25/08/2019","171.58","190.72","193.58","164.00","3.03M","-10.03%"
"18/08/2019","190.72","185.54","203.40","181.19","3.23M","2.79%"
"11/08/2019","185.54","206.41","217.07","175.05","3.31M","-10.13%"
"04/08/2019","206.45","222.07","238.89","202.63","2.56M","-7.03%"
"28/07/2019","222.07","207.29","224.42","199.13","2.18M","7.03%"
"21/07/2019","207.48","228.18","229.65","202.17","2.98M","-9.08%"
"14/07/2019","228.20","268.89","269.63","192.14","4.22M","-15.13%"
"07/07/2019","268.89","288.17","317.85","262.21","3.11M","-6.69%"
"30/06/2019","288.17","317.77","323.49","272.89","3.54M","-9.31%"
